TimePeriod,ProratedQuantity
2023-09-30,3926502.063824401
2023-10-01,3853439.385759717
2023-10-02,4051983.553939297
2023-10-03,4115110.6639458057
2023-10-04,4131843.225257399
2023-10-05,4228548.643243881
2023-10-06,4200619.682525988
2023-10-07,3954569.3642494185
2023-10-08,3834607.911664501
2023-10-09,4094666.587427663
2023-10-10,4243159.4694204815
2023-10-11,4209999.932507984
2023-10-12,4186692.2158903102
2023-10-13,4034803.597053305
2023-10-14,3840734.4685958847
2023-10-15,3746056.07516853
2023-10-16,3964150.5922527113
2023-10-17,4078502.550159198
2023-10-18,4095746.755308917
2023-10-19,4250790.862692401
2023-10-20,4186713.9978140034
2023-10-21,3979831.5508591994
2023-10-22,3906061.498869535
2023-10-23,4126697.704507504
2023-10-24,4152875.3510437855
2023-10-25,4133018.724649952
2023-10-26,4183106.8672613534
2023-10-27,4195623.643323811
2023-10-28,4113398.0673016
2023-10-29,4051231.813456677
2023-10-30,4261250.6054593595
2023-10-31,4424455.619214698
2023-11-01,4496350.660761385
2023-11-02,4426630.099134096
2023-11-03,4029664.274718313
2023-11-04,4121935.896553176
2023-11-05,4007729.1608123216
2023-11-06,4366069.331131672
2023-11-07,4476004.492710224
2023-11-08,4172874.6633410985
2023-11-09,4163470.705886453
2023-11-10,4142783.28123966
2023-11-11,3870541.0786716538
2023-11-12,3782083.6468100473
2023-11-13,4010000.7186430735
2023-11-14,4117181.410316783
2023-11-15,4144947.176337816
2023-11-16,4399059.44574968
2023-11-17,4591769.607075416
2023-11-18,4075542.5410855087
2023-11-19,3975647.7405751306
2023-11-20,4495140.52565906
2023-11-21,4651788.204074844
2023-11-22,4457579.030519908
2023-11-23,4228756.972984367
2023-11-24,4244777.906340092
2023-11-25,4149520.5052006273
2023-11-26,4093372.8595520905
2023-11-27,4305325.764051418
2023-11-28,4453369.391219269
2023-11-29,4502165.9222255135
2023-11-30,4557668.552079953
2023-12-01,4533016.8278413545
2023-12-02,4359113.415321092
2023-12-03,4169683.4636652665
2023-12-04,4406955.423687819
2023-12-05,4362780.5090171
2023-12-06,4358218.57864513
2023-12-07,4269818.69657079
2023-12-08,4160410.409166927
2023-12-09,3933482.1260961713
2023-12-10,3872480.51419314
2023-12-11,4080880.737737612
2023-12-12,4258503.957601302
2023-12-13,4307604.213600004
2023-12-14,4259047.769184548
2023-12-15,4202177.838495088
2023-12-16,3945042.611170941
2023-12-17,3818497.611044588
2023-12-18,4137529.860925114
2023-12-19,4115056.4381273272
2023-12-20,4198506.840842667
2023-12-21,4117245.49783515
2023-12-22,4024784.977491525
2023-12-23,3881161.6943489257
2023-12-24,3835960.3903817087
2023-12-25,3799057.364301445
2023-12-26,3930219.4476631153
2023-12-27,3981385.8461075407
2023-12-28,4031821.1429601777
2023-12-29,3965141.135282047
2023-12-30,3876471.931869883
2023-12-31,3872580.945232473
2024-01-01,3896289.3767771902
2024-01-02,4037271.402714545
2024-01-03,4088559.7802835647
2024-01-04,4149683.519136353
2024-01-05,4227086.651873733
2024-01-06,4137910.066665526
2024-01-07,4059135.333937956
2024-01-08,4196560.077226447
2024-01-09,4230560.0328055965
2024-01-10,4217553.9088711
2024-01-11,4221330.743156998
2024-01-12,4157550.2055836767
2024-01-13,3907896.732394824
2024-01-14,3811145.4720990215
2024-01-15,3915386.550346584
2024-01-16,4096423.5024174647
2024-01-17,4218732.0241391
2024-01-18,4154291.882117283
2024-01-19,4083901.3175573335
2024-01-20,3936136.418675831
2024-01-21,3903051.772246589
2024-01-22,4094815.732172727
2024-01-23,4232702.479928212
2024-01-24,4225652.684630271
2024-01-25,4214609.922835421
2024-01-26,4084095.627223188
2024-01-27,3976933.3956911266
2024-01-28,3931357.6052638367
2024-01-29,4186234.268900997
2024-01-30,4394684.509173074
2024-01-31,4300417.403025708
2024-02-01,4373842.684266507
2024-02-02,4299424.816912783
2024-02-03,4101149.9734245385
2024-02-04,4051949.322859856
2024-02-05,4319439.889417619
2024-02-06,4532972.898265479
2024-02-07,4456689.260640334
2024-02-08,4406047.072904372
2024-02-09,4325332.196362663
2024-02-10,4200547.953676616
2024-02-11,4108916.1970344456
2024-02-12,4269466.687130195
2024-02-13,4287304.138560528
2024-02-14,4301221.253590041
2024-02-15,4362000.037417849
2024-02-16,4312942.173910081
2024-02-17,4189623.5240575345
2024-02-18,4139470.375735181
2024-02-19,4240796.016277729
2024-02-20,4402565.329349417
2024-02-21,4389210.19560344
2024-02-22,4382542.141416664
2024-02-23,4345757.585244287
2024-02-24,4147298.145764492
2024-02-25,4130548.168741197
2024-02-26,4395990.711504997
2024-02-27,4334525.998503061
2024-02-28,4408091.6436165515
2024-02-29,4450295.841339964
2024-03-01,4384629.8828701405
2024-03-02,4090900.28460317
2024-03-03,3997086.5493201
2024-03-04,4317053.076126783
2024-03-05,4371648.856189163
2024-03-06,4315493.714305873
2024-03-07,4359608.982545279
2024-03-08,4362000.475371196
2024-03-09,4069070.366970107
2024-03-10,4010297.038723252
2024-03-11,4315297.339612792
2024-03-12,4281912.560195294
2024-03-13,4282435.343534744
2024-03-14,4352459.40192729
2024-03-15,4267827.077287781
2024-03-16,4102937.918553264
2024-03-17,4080171.4185637026
2024-03-18,4321569.67312813
2024-03-19,4398835.446270346
2024-03-20,4367125.844270091
2024-03-21,4387702.99786818
2024-03-22,4302511.003520626
2024-03-23,4260474.410693722
2024-03-24,4097331.683687865
2024-03-25,4235668.218307333
2024-03-26,4472785.639607546
