TimePeriod,ProratedQuantity
2023-09-30,3088484.31369683
2023-10-01,3055898.565875655
2023-10-02,3222214.4608743726
2023-10-03,3290671.6858250573
2023-10-04,3276783.0766745456
2023-10-05,3255302.037572587
2023-10-06,3222800.0717245312
2023-10-07,3036267.248256888
2023-10-08,2979858.532884008
2023-10-09,3205523.0499397875
2023-10-10,3313120.4008252635
2023-10-11,3292607.0552246096
2023-10-12,3302132.553842684
2023-10-13,3217557.4679638785
2023-10-14,3037325.531320266
2023-10-15,2982789.7948045977
2023-10-16,3017206.0229692007
2023-10-17,3164690.515073452
2023-10-18,3122965.9528645445
2023-10-19,3174845.684643954
2023-10-20,3157900.8698794367
2023-10-21,2991258.3916964773
2023-10-22,2948397.394775698
2023-10-23,3140666.78249852
2023-10-24,3178359.809133658
2023-10-25,3198814.1743744924
2023-10-26,3190257.591789117
2023-10-27,3199481.015638076
2023-10-28,3045158.571153813
2023-10-29,2971686.031892135
2023-10-30,3258584.422415033
2023-10-31,3387930.4038354824
2023-11-01,3376685.6827291483
2023-11-02,3308778.726404685
2023-11-03,3047506.8099153186
2023-11-04,3048814.104247471
2023-11-05,3007612.31997968
2023-11-06,3256655.394250176
2023-11-07,3309557.8706326275
2023-11-08,3129460.5510843256
2023-11-09,3119791.323969024
2023-11-10,3095465.821912433
2023-11-11,2915917.446527244
2023-11-12,2866361.7057495434
2023-11-13,2984848.4584745737
2023-11-14,3035638.8758745394
2023-11-15,3009555.2037372896
2023-11-16,3079118.7155264933
2023-11-17,3011481.3144141054
2023-11-18,2827951.777193278
2023-11-19,2791557.0857583955
2023-11-20,2963391.957729663
2023-11-21,3132260.58247358
2023-11-22,3271243.7214000346
2023-11-23,3153220.5044826213
2023-11-24,3091700.4114303845
2023-11-25,3002297.4905090397
2023-11-26,2997782.638696526
2023-11-27,3250565.5605723816
2023-11-28,3306700.176869201
2023-11-29,3352711.754153613
2023-11-30,3380627.964748246
2023-12-01,3343929.459377225
2023-12-02,3147172.660249877
2023-12-03,3061862.446526777
2023-12-04,3169299.677047516
2023-12-05,3228080.3302282803
2023-12-06,3319259.5797353825
2023-12-07,3285834.072574375
2023-12-08,3185956.8087842786
2023-12-09,2969913.4461383177
2023-12-10,2913632.5985659175
2023-12-11,3086530.0977740968
2023-12-12,3179433.4670500574
2023-12-13,3226151.229027244
2023-12-14,3203360.7228712686
2023-12-15,3161358.2445820053
2023-12-16,2979543.718838268
2023-12-17,2982370.921878997
2023-12-18,3138394.5595593574
2023-12-19,3164896.8634317177
2023-12-20,3353558.264803539
2023-12-21,3098842.5529132304
2023-12-22,3021646.564592512
2023-12-23,2921089.1736386064
2023-12-24,2887077.988358848
2023-12-25,2856074.317489953
2023-12-26,2949254.360833456
2023-12-27,3028520.0400873222
2023-12-28,3054108.7626004308
2023-12-29,3005288.979238924
2023-12-30,2872111.605182624
2023-12-31,2862126.180095141
2024-01-01,2911957.146348279
2024-01-02,3027888.3015367566
2024-01-03,3162587.122558431
2024-01-04,3114537.025924008
2024-01-05,3080870.067403216
2024-01-06,2939835.674018112
2024-01-07,2943016.912834075
2024-01-08,3094841.147432768
2024-01-09,3171546.171056131
2024-01-10,3180315.9536628937
2024-01-11,3164251.165113053
2024-01-12,3116710.184308184
2024-01-13,2922526.4075872414
2024-01-14,2900201.167813372
2024-01-15,2954486.1998451925
2024-01-16,3068725.7800856526
2024-01-17,3292654.688411647
2024-01-18,3301141.7633429733
2024-01-19,3187473.266902647
2024-01-20,2994405.656405912
2024-01-21,2995764.164173736
2024-01-22,3208543.9282774366
2024-01-23,3300468.6374033545
2024-01-24,3282963.9923382774
2024-01-25,3258982.5506876656
2024-01-26,3229640.2494443622
2024-01-27,3074075.88735509
2024-01-28,3067572.3932180377
2024-01-29,3272107.1860681893
2024-01-30,3396803.392707532
2024-01-31,3346204.0137132644
2024-02-01,3432302.232604125
2024-02-02,3350328.7209572694
2024-02-03,3174507.8342010407
2024-02-04,3145266.739932636
2024-02-05,3314193.730124725
2024-02-06,3370471.6729123536
2024-02-07,3322916.2127327225
2024-02-08,3279232.6946622934
2024-02-09,3232223.7995226434
2024-02-10,3053907.370278944
2024-02-11,3012022.428864725
2024-02-12,3158522.812715094
2024-02-13,3261612.264264825
2024-02-14,3304083.348543549
2024-02-15,3333610.718344429
2024-02-16,3202968.4045155863
2024-02-17,3000195.1612764616
2024-02-18,2998951.2912071343
2024-02-19,3102437.2050465746
2024-02-20,3207192.9334321218
2024-02-21,3204371.6390158194
2024-02-22,3246500.188443565
2024-02-23,3157843.2694711545
2024-02-24,3001705.356935346
2024-02-25,2938796.373514392
2024-02-26,3137161.9273875
2024-02-27,3193258.567733971
2024-02-28,3199460.467637942
2024-02-29,3256895.1162039484
2024-03-01,3128262.898445002
2024-03-02,2932505.569559609
2024-03-03,2832636.6487702923
2024-03-04,3005121.8322080374
2024-03-05,3074937.6607102933
2024-03-06,3083977.234662487
2024-03-07,3205309.267970123
2024-03-08,3155416.218092958
2024-03-09,2982711.603449169
2024-03-10,2933794.09179962
2024-03-11,3105922.3840967785
2024-03-12,3147469.4047288205
2024-03-13,3156366.0201837663
2024-03-14,3236472.360797455
2024-03-15,3183568.871422638
2024-03-16,3030294.2234946727
2024-03-17,3008667.3016711487
2024-03-18,3288737.204627257
2024-03-19,3346080.2351616425
2024-03-20,3318817.229646452
2024-03-21,3358129.068090572
2024-03-22,3390622.3838525647
2024-03-23,3247509.833974909
2024-03-24,3129631.879761772
2024-03-25,3271776.0004853974
2024-03-26,3524860.981590316
