TimePeriod,ProratedQuantity
2023-12-29,3005288.979238924
2023-12-30,2872111.605182624
2023-12-31,2862126.180095141
2024-01-01,2911957.146348279
2024-01-02,3027888.3015367566
2024-01-03,3162587.122558431
2024-01-04,3114537.025924008
2024-01-05,3080870.067403216
2024-01-06,2939835.674018112
2024-01-07,2943016.912834075
2024-01-08,3094841.147432768
2024-01-09,3171546.171056131
2024-01-10,3180315.9536628937
2024-01-11,3164251.165113053
2024-01-12,3116710.184308184
2024-01-13,2922526.4075872414
2024-01-14,2900201.167813372
2024-01-15,2954486.1998451925
2024-01-16,3068725.7800856526
2024-01-17,3292654.688411647
2024-01-18,3301141.7633429733
2024-01-19,3187473.266902647
2024-01-20,2994405.656405912
2024-01-21,2995764.164173736
2024-01-22,3208543.9282774366
2024-01-23,3300468.6374033545
2024-01-24,3282963.9923382774
2024-01-25,3258982.5506876656
2024-01-26,3229640.2494443622
2024-01-27,3074075.88735509
2024-01-28,3067572.3932180377
2024-01-29,3272107.1860681893
2024-01-30,3396803.392707532
2024-01-31,3346204.0137132644
2024-02-01,3432302.232604125
2024-02-02,3350328.7209572694
2024-02-03,3174507.8342010407
2024-02-04,3145266.739932636
2024-02-05,3314193.730124725
2024-02-06,3370471.6729123536
2024-02-07,3322916.2127327225
2024-02-08,3279232.6946622934
2024-02-09,3232223.7995226434
2024-02-10,3053907.370278944
2024-02-11,3012022.428864725
2024-02-12,3158522.812715094
2024-02-13,3261612.264264825
2024-02-14,3304083.348543549
2024-02-15,3333610.718344429
2024-02-16,3202968.4045155863
2024-02-17,3000195.1612764616
2024-02-18,2998951.2912071343
2024-02-19,3102437.2050465746
2024-02-20,3207192.9334321218
2024-02-21,3204371.6390158194
2024-02-22,3246500.188443565
2024-02-23,3157843.2694711545
2024-02-24,3001705.356935346
2024-02-25,2938796.373514392
2024-02-26,3137161.9273875
2024-02-27,3193258.567733971
2024-02-28,3199460.467637942
2024-02-29,3256895.1162039484
2024-03-01,3128262.898445002
2024-03-02,2932505.569559609
2024-03-03,2832636.6487702923
2024-03-04,3005121.8322080374
2024-03-05,3074937.6607102933
2024-03-06,3083977.234662487
2024-03-07,3205309.267970123
2024-03-08,3155416.218092958
2024-03-09,2982711.603449169
2024-03-10,2933794.09179962
2024-03-11,3105922.3840967785
2024-03-12,3147469.4047288205
2024-03-13,3156366.0201837663
2024-03-14,3236472.360797455
2024-03-15,3183568.871422638
2024-03-16,3030294.2234946727
2024-03-17,3008667.3016711487
2024-03-18,3288737.204627257
2024-03-19,3346080.2351616425
2024-03-20,3318817.229646452
2024-03-21,3358129.068090572
2024-03-22,3390622.3838525647
2024-03-23,3247509.833974909
2024-03-24,3129631.879761772
2024-03-25,3271776.0004853974
2024-03-26,3524860.981590316
