TimePeriod,ProratedQuantity
2023-09-30,8105694.476561447
2023-10-01,8250501.486500601
2023-10-02,8350478.389835489
2023-10-03,8324666.59019953
2023-10-04,8339760.501457725
2023-10-05,8358978.60793034
2023-10-06,8616304.29300747
2023-10-07,7986727.288605198
2023-10-08,7810043.466750793
2023-10-09,8267288.565829976
2023-10-10,8567407.3890069
2023-10-11,9540553.092855226
2023-10-12,8515989.788754145
2023-10-13,8414513.905480746
2023-10-14,7905490.6914848145
2023-10-15,7949088.424621009
2023-10-16,7833481.536014303
2023-10-17,8566533.949018516
2023-10-18,9054245.252670038
2023-10-19,9055175.780131184
2023-10-20,9438104.868636511
2023-10-21,11120233.33061186
2023-10-22,10456814.852814885
2023-10-23,8429677.52536877
2023-10-24,7986648.3843069235
2023-10-25,8151286.293147197
2023-10-26,8147072.77455507
2023-10-27,8075658.864141496
2023-10-28,7776185.719685992
2023-10-29,7848645.5303078
2023-10-30,8257716.5591634065
2023-10-31,8201010.225226144
2023-11-01,8269240.108817281
2023-11-02,8117612.91102479
2023-11-03,7291842.680980296
2023-11-04,7531294.996049637
2023-11-05,7609442.731828691
2023-11-06,8074636.363593208
2023-11-07,8226256.35596352
2023-11-08,7951942.54064454
2023-11-09,7934595.0787295345
2023-11-10,7836231.0137734385
2023-11-11,7554312.435573973
2023-11-12,7481151.13140356
2023-11-13,7794645.034635365
2023-11-14,7830135.802797667
2023-11-15,7953887.84905861
2023-11-16,7836220.172789553
2023-11-17,7768904.139246931
2023-11-18,7508177.120993699
2023-11-19,7500950.550349951
2023-11-20,7858455.634356988
2023-11-21,8055558.442715554
2023-11-22,7950023.586569725
2023-11-23,7664612.119058038
2023-11-24,7454055.117973947
2023-11-25,7444822.8097777935
2023-11-26,7398914.289463027
2023-11-27,7743925.482698965
2023-11-28,7943346.405174539
2023-11-29,7976358.52888586
2023-11-30,8220426.447581258
2023-12-01,8183365.982042351
2023-12-02,8018797.288768187
2023-12-03,7634071.697006721
2023-12-04,8009242.834141247
2023-12-05,7821689.15982153
2023-12-06,7780943.908909687
2023-12-07,7862643.166708192
2023-12-08,7871425.316372813
2023-12-09,7747211.983302372
2023-12-10,7604540.805566815
2023-12-11,8050061.164444963
2023-12-12,7993143.982106754
2023-12-13,7969771.668179236
2023-12-14,7922123.2198832845
2023-12-15,7934319.469802024
2023-12-16,7559189.527753397
2023-12-17,7453779.182898839
2023-12-18,7833405.126194865
2023-12-19,7831033.449573593
2023-12-20,7795115.3020793265
2023-12-21,7641038.491930536
2023-12-22,7419531.726722921
2023-12-23,7174095.556288265
2023-12-24,7120077.470613447
2023-12-25,6959152.924681416
2023-12-26,7026797.678302909
2023-12-27,7042401.953952243
2023-12-28,7055935.093147582
2023-12-29,6914102.104655124
2023-12-30,6865158.7157293055
2023-12-31,6688442.995601664
2024-01-01,6618452.794743313
2024-01-02,6905787.062631823
2024-01-03,6968869.541432312
2024-01-04,7022652.131175894
2024-01-05,7075685.945472707
2024-01-06,7339838.514181184
2024-01-07,7398707.439307012
2024-01-08,7298950.774096219
2024-01-09,6950900.002689148
2024-01-10,6789401.999658659
2024-01-11,6739742.815572398
2024-01-12,6735767.0304982485
2024-01-13,6608172.525181575
2024-01-14,6016031.10789134
2024-01-15,5984733.173234405
2024-01-16,6129494.552030809
2024-01-17,6177037.284121152
2024-01-18,6141423.672008276
2024-01-19,6048546.374390606
2024-01-20,5936051.429796129
2024-01-21,5709303.011160442
2024-01-22,5912691.248354065
2024-01-23,5854759.934340016
2024-01-24,5782008.098768203
2024-01-25,5809681.108898088
2024-01-26,5897100.999552536
2024-01-27,5952563.734343608
2024-01-28,5802460.379781548
2024-01-29,6070231.5785077335
2024-01-30,6169605.648502299
2024-01-31,6048400.307315599
2024-02-01,6205815.548780038
2024-02-02,6170004.782999147
2024-02-03,6057617.961431833
2024-02-04,5963221.626168618
2024-02-05,6111173.152232615
2024-02-06,6160526.524841531
2024-02-07,6058783.3815895645
2024-02-08,6234422.351368003
2024-02-09,6454040.292987501
2024-02-10,6762347.948660248
2024-02-11,6472679.25902315
2024-02-12,6226444.781427026
2024-02-13,6364785.464825736
2024-02-14,6413696.448939086
2024-02-15,6530545.334617366
2024-02-16,6457163.992715622
2024-02-17,6645191.55864552
2024-02-18,6361275.64297641
2024-02-19,6136493.10859696
2024-02-20,6262816.049600267
2024-02-21,6053873.526541649
2024-02-22,6048345.265574319
2024-02-23,5983097.332240529
2024-02-24,6019047.522043758
2024-02-25,5816311.66191787
2024-02-26,5876022.099782792
2024-02-27,5896865.958851852
2024-02-28,5881714.670811704
2024-02-29,5953525.755205684
2024-03-01,5715401.678491147
2024-03-02,5666325.999586211
2024-03-03,5491752.099950334
2024-03-04,5746015.575297397
2024-03-05,5743154.820245887
2024-03-06,5683815.756487614
2024-03-07,5683609.545429572
2024-03-08,5588072.800940482
2024-03-09,5577002.669049604
2024-03-10,5399969.516034933
2024-03-11,5567276.222570956
2024-03-12,5603746.060587779
2024-03-13,5607724.962888368
2024-03-14,5599543.496448865
2024-03-15,5779801.603315169
2024-03-16,6348370.417570873
2024-03-17,6038971.02919339
2024-03-18,5715361.605103893
2024-03-19,5654766.469754572
2024-03-20,5610403.451732572
2024-03-21,5578898.697729523
2024-03-22,5529830.488160722
2024-03-23,5511432.23821626
2024-03-24,5324509.783431638
2024-03-25,5436402.360340655
2024-03-26,5451211.172705485
